# Data from /Users/tetsu/Desktop/benzene_ICSS_XY_0.log.
# Shielding tensor data from ZZ component.
# Processed with ICSScsv.
# Author: Zhe Wang
# Homepage: https://www.wangzhe95.net/program-icsscsv


XY,-3.0,-2.8,-2.6,-2.4,-2.2,-2.0,-1.8,-1.6,-1.4,-1.2,-1.0,-0.8,-0.6,-0.4,-0.2,0.0,0.2,0.4,0.6,0.8,1.0,1.2,1.4,1.6,1.8,2.0,2.2,2.4,2.6,2.8,3.0,
-3.0,2.5188,2.8136,3.1487,3.5276,3.9474,4.3933,4.8308,5.1891,5.34,5.1144,4.4468,3.6146,3.2637,3.8812,5.1976,6.518,7.375,7.7014,7.6368,7.3289,6.8786,6.3557,5.8128,5.2891,4.8084,4.3769,3.9867,3.6254,3.2843,2.9609,2.6568,
-2.8,2.8202,3.1728,3.5788,4.0441,4.5662,5.1247,5.6655,6.0637,6.0621,5.2765,3.4535,0.9813,-0.5058,0.7166,3.7575,6.7039,8.6228,9.4411,9.4922,9.0982,8.4549,7.6813,6.8691,6.1007,5.4383,4.8991,4.4541,4.0577,3.6801,3.3138,2.9635,
-2.6,3.163,3.5866,4.0817,4.6587,5.317,6.0311,6.7244,7.2016,7.0218,5.4477,1.6963,-4.3197,-8.9385,-6.6113,0.0738,5.9973,9.751,11.4446,11.7397,11.2448,10.3091,9.1262,7.8545,6.6769,5.7603,5.152,4.7528,4.4174,4.062,3.6777,3.2876,
-2.4,3.5477,4.0569,4.6625,5.3826,6.2212,7.1498,8.0697,8.7105,8.4187,5.9918,-0.1825,-11.2439,-22.2994,-18.4241,-6.592,3.6873,10.2005,13.2992,14.0767,13.5019,12.1266,10.2562,8.1872,6.3402,5.1282,4.6503,4.5998,4.5761,4.3843,4.039,3.6243,
-2.2,3.9664,4.5736,5.3103,6.207,7.2761,8.487,9.7176,10.6198,10.3242,7.1517,-1.1571,-15.9426,-30.592,-29.3528,-15.1041,-0.6294,9.0382,13.9276,15.5029,14.9475,12.9293,9.9153,6.5429,3.7256,2.3766,2.6736,3.6717,4.4204,4.6183,4.3937,3.9733,
-2.0,4.397,5.104,5.981,7.0785,8.4227,9.9766,11.5796,12.7854,12.522,8.7906,-0.8688,-17.2823,-34.0711,-36.8364,-23.3548,-6.6777,4.8744,11.1299,13.7885,13.594,10.7924,6.0073,0.6149,-3.6346,-4.4916,-1.5751,1.9321,4.0471,4.8258,4.7689,4.3432,
-1.8,4.7928,5.5682,6.553,7.8359,9.4649,11.3813,13.3454,14.755,14.3328,10.0714,-0.0383,-16.3492,-33.1798,-37.5319,-27.016,-14.0971,-4.8877,1.3554,5.6112,6.8663,3.6318,-3.515,-11.6935,-17.6426,-16.3259,-7.3339,0.2122,3.9278,5.2019,5.2299,4.7523,
-1.6,5.0639,5.7908,6.7322,8.0554,9.8586,12.0407,14.2102,15.4833,14.271,8.777,-1.7163,-15.381,-23.1841,-17.5485,-15.2844,-22.9344,-23.7605,-18.5852,-11.527,-6.5314,-8.6836,-18.0175,-27.6723,-31.5386,-24.7114,-9.7367,0.341,4.6917,5.9659,5.844,5.2178,
-1.4,5.0722,5.4665,5.952,6.8457,8.3824,10.4676,12.5261,13.1736,10.132,1.6367,-11.3643,-23.3595,-18.2882,-56.337,-27.583,-38.6716,-49.8682,-45.8712,-35.7731,-23.4788,-19.9461,-30.4848,-38.6549,-34.5211,-20.9307,-6.0408,2.9862,6.5078,7.1579,6.6187,5.74,
